# SelectionSort() randomized input.
#	N	BestCase	WorstCase	AverageCase
1	200	100	200
11	4000	6200	4800
21	14000	19500	16700
31	30300	51000	46700
41	53100	85200	69800
51	82200	143900	117400
61	120800	198100	168500
71	160700	262800	218800
81	206100	353800	290900
91	261600	448900	382600
101	324100	541400	451000
111	404000	653300	552100
121	463300	791300	645900
131	541900	909700	722700
141	628200	1086900	880700
151	721100	1165800	993800
161	820000	1331300	1120000
171	938800	1568900	1287300
181	1039600	1682200	1453400
191	1157500	1901900	1629600
201	1279600	2304300	1812700
211	1408100	2355600	1988700
221	1549700	2564500	2165800
231	1695000	3431900	2317600
241	1831400	3277700	2577700
251	1998200	3398500	2841200
261	2160500	3824400	3200400
271	2567600	4126200	3204200
281	2496500	4185500	3582400
291	2672700	4427200	3823000
301	2910800	4953800	3991600
311	3184200	5352300	4267300
321	3268500	5412100	4564500
331	3489100	5874100	4896300
341	3707700	6166700	5249900
351	3885700	6551300	5504800
361	4142200	6936900	5874500
371	4380500	7380300	6207700
381	4591200	7685400	6546200
391	4838700	8105900	6899300
401	5066600	8859600	7462500
411	5349400	8918100	7478400
421	5595800	9408600	7931000
431	5860600	9698400	8263300
441	6121700	10186900	8660000
451	6417700	10723700	8958200
461	6693600	11379100	9402700
471	6995500	11647000	9723900
481	7368400	12373100	10242400
491	7602800	12632900	10642200
501	7952800	13254600	10990200
511	8293600	14116500	12633100
521	8753500	14663600	12267400
531	9099100	15519400	13125800
541	9561700	16428600	13125100
551	11551300	16303100	16626700
561	9923200	16661100	14013700
571	10285400	16848200	14329500
581	10653800	17863700	14782200
591	11015800	18558200	15343800
601	11397600	19370200	16104300
611	11816800	19943600	17206600
621	12230200	20463900	17351100
631	12650600	21395200	17658800
641	13020700	21546100	18110500
651	13424500	22463900	18665500
661	13828800	23212900	19646300
671	14235700	23926800	20655900
681	14687500	24321200	20463100
691	15125500	25306200	21305700
701	15592100	25534500	21291200
711	15957000	26388200	22462700
721	16616700	27727600	23215800
731	16853600	28151200	23863500
741	17305000	28734500	24230000
751	17800300	29442400	24543700
761	18264100	30415300	26080900
771	18777000	31673700	26380900
781	19263900	31891100	26859500
791	19752900	33405700	27987700
801	20261200	33512500	28364000
811	20836500	34745000	28920300
821	21257400	35583700	29742600
831	21768600	36188100	30363000
841	22309200	37356300	31134500
851	22818900	38416500	31785400
861	23385200	39463500	33668000
871	23923200	40268600	33527800
881	24540800	40635600	34236700
891	25031200	41726800	35208400
901	25597300	43320300	36662900
911	26167900	43982300	36685900
921	26753500	44764500	37853900
931	27324400	45515200	38023000
941	27921100	46678300	39036900
951	28532900	47694700	40357400
961	29247900	48641500	41037600
971	29748500	50207500	41835000
981	30320300	50298000	42180300
991	30974300	51755600	43432100
