# BubbleSort() randomized input.
#	N	BestCase	WorstCase	AverageCase
1	200	200	500
11	4000	7300	5900
21	14100	26600	20000
31	30600	59200	45700
41	53500	104500	82700
51	83100	162900	122900
61	121000	234100	182100
71	161300	452500	247200
81	310500	600900	484200
91	263700	546500	498900
101	382200	695000	522000
111	412100	782400	672900
121	467200	923200	808200
131	549000	1083800	830000
141	635600	1333200	953800
151	770400	1604600	1204300
161	1201700	1884600	1779000
171	932200	1848500	1453100
181	1052600	2106500	1623000
191	1174000	2314000	1782600
201	1607500	2776200	1962400
211	1419800	2799600	2152100
221	1560500	3089900	2375300
231	1700800	3366400	2611700
241	1853500	3664300	2785600
251	2011100	3972300	3104300
261	2285700	4877100	3373100
271	2336900	4647400	3466800
281	2511300	4995100	3765400
291	2693500	5338300	4093900
301	2882900	5721000	4385900
311	3079500	6100800	4775200
321	3289200	6514200	4943200
331	3481100	6921000	5360700
341	3705700	7348100	5643300
351	3917400	7777100	6061200
361	4142700	8220200	6378900
371	4383000	8698100	6605300
381	4624900	9176800	7176300
391	4880100	9644700	7437900
401	5125000	10158200	7804800
411	5373600	10672600	8229100
421	5667500	11391600	8488900
431	5945900	12068500	9331600
441	6197900	12299500	9444600
451	6770700	12921300	10095800
461	7061100	13804400	10145100
471	7057900	14039300	10866300
481	7375600	14648500	11164600
491	7760800	15485700	11907500
501	7991900	15928300	11994500
511	8447300	17214800	13853400
521	9538500	19294800	14302000
531	9208700	18039300	13908200
541	9428400	18918600	14262100
551	9696400	19224200	14724100
561	10031100	19936100	15622800
571	10438500	20782600	15812800
581	10846500	21646500	16364600
591	11383400	22196800	18540500
601	12228600	23490200	19221600
611	11927000	23892800	17925100
621	12336900	24924500	18820600
631	12706400	28708900	19630700
641	17868400	30672000	24873100
651	14184000	27682800	23044100
661	13926200	27639000	22077500
671	14306200	28473000	22036800
681	14738300	29316700	22645600
691	15209800	30222900	23185900
701	15628200	31026600	23742100
711	16082100	31936600	24449200
721	16550500	33152200	25483900
731	16997500	33753500	25728300
741	17479200	34655200	26709100
751	17944600	35843600	27335400
761	18415900	36596100	27829300
771	19043600	37530700	28874200
781	19390800	38583100	29338600
791	19884100	39511100	30012600
801	20414500	40494100	30808100
811	20896200	41522000	31931700
821	21429900	42567300	32589300
831	21939600	43600300	33210400
841	22576100	44864500	34812100
851	23046300	45732600	35030200
861	23746500	46870200	35655200
871	24118200	47923900	36709900
881	24710400	49037100	38190000
891	25218800	50204100	38464600
901	26570300	51542600	39430900
911	26617600	52557300	40892100
921	26979200	53563300	40885700
931	27574800	54826000	41846500
941	28199400	56016000	43313500
951	28811700	57556800	44085600
961	29414100	58359700	44736700
971	29960100	59582400	45889700
981	30634700	60768600	46241000
991	31269800	62285800	47588200
