# InsertionSort() randomized input.
#	N	BestCase	WorstCase	AverageCase
1	200	200	400
11	900	6600	2900
21	1500	24500	12400
31	2100	53000	32500
41	2800	95100	45700
51	3500	146800	80900
61	4100	211900	107700
71	4700	286200	135300
81	5300	375300	183600
91	6000	472200	245300
101	6600	584400	319600
111	7300	706200	339000
121	8000	842000	502600
131	8600	987200	505800
141	9200	1139600	643900
151	9900	1313600	647800
161	10500	1493700	744800
171	11200	1690300	897600
181	11900	1886000	850300
191	12500	2105700	1000600
201	13200	2332400	1089600
211	13800	2575000	1222300
221	14400	2814900	1412300
231	15100	3084000	1623600
241	15800	3349400	1737700
251	16300	3630300	1928100
261	17000	3931600	1909700
271	17700	4238900	2144400
281	18400	4560000	2345600
291	19000	4890800	2285700
301	19600	5225200	2471000
311	20300	5582100	2904800
321	21000	5947100	2984600
331	21600	6351500	3085700
341	22400	6732600	3288400
351	23000	7130400	3687200
361	23500	7567300	3666700
371	24200	7970300	4033400
381	24900	8387700	4346300
391	25500	8846400	4538700
401	26100	9291500	4520800
411	26800	9757200	4980400
421	27400	10263800	5069100
431	28200	10741400	5188900
441	28800	11243600	5782200
451	29400	11762500	5728500
461	30000	12279900	6087600
471	30700	12830900	6317800
481	31400	13396400	6854400
491	32000	13961900	6790300
501	32600	14523500	6928500
511	34900	15103200	7710200
521	34100	16060700	8250700
531	34500	16349000	7839400
541	35200	16921700	8713900
551	35900	17541600	8727800
561	36500	18447500	8779400
571	37200	18871500	9731500
581	37800	19537900	9737700
591	38500	20216000	9847600
601	39100	20913900	9833200
611	39700	21585300	11053200
621	40500	22315500	11464900
631	41100	23060600	11799700
641	41800	23774700	11457000
651	42300	24543200	12386200
661	43000	25281800	12106000
671	43600	26050800	13084600
681	44400	27145500	13616000
691	45000	27633000	13797700
701	45700	28417200	14830700
711	46200	29665000	15113500
721	47000	30080300	14927500
731	47600	30987400	15828000
741	48200	31776700	16149500
751	48800	32635300	16078400
761	49500	33505800	16984000
771	50200	34416600	17296500
781	50400	35302400	16900800
791	54700	36364500	18131000
801	52200	37123300	19221800
811	54700	38109100	19250700
821	53400	39021400	19508300
831	54300	40026300	20327600
841	54800	41423500	21177900
851	55300	41935700	21901700
861	55900	42917400	21428200
871	58700	44276300	21887600
881	57300	44927300	22663400
891	57800	45981200	23748300
901	60400	47098200	24583700
911	59300	48269500	24174700
921	60100	49489000	25500500
931	60400	50810300	26273300
941	61300	53256500	25015600
951	135200	54237700	29215500
961	62600	54221600	27981900
971	63400	55744400	30057000
981	63800	57020100	28474300
991	64500	57470500	28151600
