# MergeSort() randomized input.
#N	WorstCase	AverageCase
1	200	200
11	10200	10600
21	22200	22700
31	35100	35800
41	52300	49400
51	63100	63800
61	77300	78400
71	92600	93200
81	112500	114100
91	123400	125100
101	139000	150300
111	161900	156900
121	170400	172500
131	186100	193000
141	203400	208700
151	221000	222400
161	245400	238500
171	253300	258000
181	280100	272800
191	297200	288800
201	318600	316600
211	323000	326200
221	351600	349200
231	361500	360400
241	385200	378100
251	391100	400500
261	416600	411300
271	427100	430000
281	444800	449800
291	481800	470900
301	484100	486200
311	497800	502600
321	532200	520900
331	533300	540700
341	559200	576500
351	582400	576900
361	592700	599300
371	615500	617700
381	647300	637600
391	661400	652100
401	666700	673800
411	684300	693000
421	709400	711900
431	1211600	727100
441	737800	1229200
451	756400	765400
461	774600	787600
471	789800	823600
481	839900	856800
491	856000	851800
501	863100	855600
511	878500	892900
521	896400	902400
531	934300	939700
541	925300	934900
551	944800	966800
561	964400	974500
571	988200	996200
581	1034800	1024500
591	1035500	1040700
601	1053900	1079600
611	1108300	1207100
621	1087800	1121400
631	1109800	1115800
641	1156900	1142300
651	1161800	1151700
661	1169300	1170800
671	1181300	1193400
681	1198100	1212000
691	1254900	1229700
701	1258400	1269500
711	1273200	1274800
721	1321800	1327000
731	1327000	1318700
741	1355400	1331000
751	1380900	1350500
761	1372500	1456800
771	1520400	1400900
781	1441000	1426400
791	1523700	1459400
801	1480400	1472500
811	1511300	1620100
821	1483600	1502400
831	1517100	1595800
841	1520500	1580100
851	1551400	1630000
861	1607400	1577100
871	1580800	1619400
881	1644900	1646400
891	1637300	1685500
901	1694200	1702900
911	1728200	1710200
921	1964700	1740800
931	1736900	1719800
941	1720400	1820100
951	1787800	1849700
961	1790100	1948300
971	1968200	1911600
981	2053800	1837700
991	1921500	1887100
