# BubbleSort() randomized input.
#	N	BestCase	WorstCase	AverageCase
1	200	200	400
11	4100	7400	5600
21	14200	27100	20800
31	30700	59300	41300
41	130800	176000	92200
51	83200	191300	121500
61	308900	466400	416100
71	163600	517100	242500
81	348200	605000	519800
91	263300	519300	389000
101	325200	646300	488900
111	392800	778900	597300
121	467500	922900	756900
131	549300	1089000	833300
141	636300	1254500	988600
151	727100	1442800	1125900
161	828300	1640300	1249100
171	933800	1852700	1401400
181	1048200	2090600	1567600
191	1175700	2700500	1814300
201	1291800	2558300	2422700
211	1424500	2816100	2160100
221	1563800	3087800	2286600
231	1704200	3383800	2626900
241	1852800	3675500	2866600
251	2012800	3984800	3121700
261	2169100	4308700	3352900
271	2343000	4646800	3627000
281	2522500	5001600	3863000
291	2709500	5355700	4113000
301	4183300	7165200	5775600
311	3085700	6130200	4851800
321	3279600	6533800	5028700
331	4278800	7913600	5302100
341	3744900	9913600	5833800
351	3956200	7795200	6094300
361	4153600	8244000	6337600
371	4402200	8722500	6740700
381	4638100	9199100	7013300
391	4878900	9715100	7379600
401	5140500	10212000	7978300
411	5396500	10702900	8164100
421	5655400	11222500	8741600
431	5942800	11825800	8991400
441	6212300	12394300	9749100
451	6495500	12886900	9774600
461	6785400	13478300	10329700
471	8006000	15455000	11383200
481	7529600	14665100	11322600
491	7696100	15412900	11830000
501	8009200	15934100	12310200
511	8335400	16598800	12716000
521	8675600	17213200	13267200
531	10545400	18116000	13692300
541	11968900	20546300	17988500
551	9686300	19258800	15561200
561	11163400	19938500	16784300
571	10390800	20671500	15675200
581	10757300	21391100	16464900
591	11147500	22177800	17154200
601	11540000	22900000	17523100
611	11909500	23659800	18095100
621	12305800	24481100	19000600
631	12691000	25232400	19568500
641	13098100	26123400	20146800
651	13823200	26849900	20625500
661	13938100	27919000	21048700
671	14362400	28519100	22031700
681	14774600	29374000	22665700
691	15208800	30296900	23110100
701	15654000	31118400	23529500
711	16133000	32001600	24427700
721	16584800	32995400	25307600
731	17032800	33867100	26159000
741	17497400	34761400	26431700
751	17981500	35806700	27491200
761	18447300	36693000	28023100
771	18937400	37843700	28979800
781	19451900	38644900	29285400
791	19933000	39601900	30551500
801	20511700	40647200	31325800
811	20989700	41665500	31673100
821	21653000	42721700	33043700
831	22017900	43854100	33742100
841	22568700	44805900	34895400
851	23083300	45871200	34981300
861	23649100	47114000	36316400
871	24188800	48049400	36807000
881	24901900	49283400	37684000
891	25309300	50266000	38419100
901	25882300	51460200	39721200
911	26444700	52634200	39716300
921	27022800	53842800	41475500
931	27662200	55023100	42213900
941	28223900	56108900	42479700
951	28969900	57390900	43862700
961	29681900	58557700	45085300
971	30037300	59797100	45778600
981	30681000	61140300	47517400
991	31568600	62362400	48035500
