# SelectionSort() randomized input.
#	N	BestCase	WorstCase	AverageCase
1	100	200	300
11	3900	6600	4800
21	14000	20700	19200
31	30300	46600	44700
41	53000	88300	73000
51	81700	134700	111700
61	119100	194500	170500
71	158400	267800	231400
81	206300	346500	291700
91	260700	433700	366800
101	319800	532400	449900
111	388900	627100	539800
121	461100	759000	632800
131	540700	901500	764100
141	624000	1033200	870100
151	716700	1195000	1004900
161	816100	1340200	1144200
171	919300	1555800	1280700
181	1031200	1762800	1437200
191	1151500	1835600	1578200
201	1268000	2147900	1797700
211	1398700	2304500	1926600
221	1534900	2581000	2166900
231	1679000	2846700	2369900
241	1821400	3014500	2533100
251	1980000	3292400	2794700
261	2144200	3578200	3019000
271	2309200	3921700	3213500
281	2482400	4186200	3533000
291	2661300	4436100	3756600
301	2848800	4856400	4003600
311	3040800	5022500	4252800
321	3241600	5515500	4555600
331	3438500	5663100	4713900
341	3658100	6172500	5067000
351	3879400	6369500	5476400
361	4096100	6772200	5698100
371	4326000	7193800	6048300
381	4566900	7651200	6401200
391	4804500	8005500	6809900
401	5059200	8530000	7116900
411	5740800	8848300	7414600
421	5606000	9257400	7867700
431	5846400	9887200	8190100
441	6117500	10315000	8607400
451	6396200	10798200	9008800
461	6683900	11246700	9302700
471	6982400	11726000	9805300
481	7281900	12230500	10295800
491	7598500	12563700	10930200
501	7911900	13471300	11285400
511	8216900	13636100	11499400
521	8529700	14525100	12104800
531	8923100	14720100	12074600
541	9209800	15587900	13035100
551	9542100	16172800	13377600
561	9912200	16433400	13837700
571	10259900	17188800	14350000
581	10643300	17974400	15070000
591	10981400	18416700	15358100
601	11366000	18983600	15875200
611	11738900	19847000	16516300
621	12127000	20175300	17145600
631	12532000	20700800	17346800
641	12930800	21616300	18341200
651	13379400	22343700	18832400
661	13738000	23127600	19585500
671	14150200	23911400	19963000
681	14600600	24480100	20661000
691	15000700	25036900	21051300
701	15458300	25899700	21750100
711	15919300	27078500	22730800
721	16353000	27539400	23016800
731	16965900	28371100	23940500
741	17273800	28719900	24109400
751	17748800	29633900	25019500
761	18213900	30668000	25528800
771	18703600	31046700	26568900
781	19184500	32194000	26723500
791	19683200	32568600	27663900
801	20179300	33892700	28267500
811	20683100	34433700	28582900
821	21201200	35611400	29527800
831	21739400	36409300	30373900
841	22258000	37741200	31315200
851	22782700	38073500	31991800
861	23315100	39018600	32639500
871	23872000	39620000	33065100
881	24393100	40175300	34134700
891	24963100	41803100	34675600
901	25505600	42848100	36082500
911	26111100	44018300	36998200
921	26660100	44846100	37381500
931	27249500	45885400	38198400
941	27848500	47155900	39183900
951	28433300	47874400	40591900
961	29081300	48607300	40952000
971	29650800	49379200	41320700
981	30289200	51083000	42619700
991	30891600	52001700	43589000
