# InsertionSort() randomized input.
#	N	BestCase	WorstCase	AverageCase
1	100	200	300
11	900	6400	3400
21	1400	23900	13900
31	2100	54300	25000
41	2800	95100	46800
51	3400	147800	90600
61	4100	211400	109700
71	4700	288200	153900
81	5400	376500	201300
91	6000	477300	248100
101	6700	587800	303600
111	7300	708600	349200
121	8000	846700	436100
131	8700	987800	483700
141	9300	1143900	528900
151	10000	1311400	572600
161	10500	1494300	742100
171	11200	1685500	926900
181	11900	1895400	921400
191	12500	2101500	1038800
201	13200	2331100	1206600
211	13900	2563300	1214900
221	14500	2812100	1391700
231	15200	3086000	1577400
241	15800	3352900	1674200
251	16500	3643100	1831100
261	17100	3934700	1917200
271	17700	4245300	2203800
281	18500	4569500	2341600
291	19100	4882700	2341000
301	19700	5239800	2649500
311	20500	5583600	2789400
321	21000	5960300	3008100
331	21600	6338600	3288800
341	22200	6719200	3297800
351	23000	7134700	3514400
361	23700	7555400	3967900
371	24300	7963100	4149800
381	25100	8416100	4192000
391	25600	8845900	4292400
401	26300	9295700	4348400
411	26900	9761000	4795900
421	27500	10248000	5209200
431	28200	10740200	5220900
441	28900	11260800	5904800
451	29600	11773000	6220300
461	30200	12300900	6321300
471	30800	12825900	6198300
481	31400	13442100	6875100
491	32300	13954500	6888300
501	32700	14528000	7278700
511	33400	15118500	7657000
521	34100	15792600	7758600
531	34800	16380600	8463300
541	35200	16963400	8777800
551	37800	17580100	8816300
561	36700	18221100	8998300
571	37400	18888400	9472700
581	37900	19527200	10236000
591	38600	20256400	9866600
601	39200	20922600	10429200
611	39900	21620800	11098900
621	40500	22313300	11296100
631	41200	23312800	11253100
641	41900	23784700	12075200
651	42400	24565500	12956700
661	43200	25291800	13463000
671	43800	26085800	13544400
681	44300	26867000	13775400
691	45000	27692500	13878900
701	46100	28467400	14210000
711	46400	29281500	14571600
721	46900	30089300	15312200
731	47600	30960800	15906400
741	48300	31807100	16292600
751	49100	32653300	16264700
761	51300	33524600	16270700
771	50200	34476200	17727100
781	54300	35354700	18237600
791	51600	36287200	18353100
801	52300	37146900	19411900
811	54700	38336200	18897200
821	53500	39041100	20514600
831	54100	40003100	20634700
841	54700	41209800	20571500
851	55400	41977600	20226900
861	57300	42964500	21699700
871	56800	43963200	21838700
881	57500	44978200	22008700
891	59700	45946800	22472600
901	58900	47203000	24637200
911	59300	48122200	23497200
921	59900	49118700	24243500
931	60600	50284700	25269000
941	63200	51293000	25506800
951	61800	52427600	26578800
961	62700	53578900	27104300
971	63400	54609500	28140300
981	64000	55757500	28216800
991	64400	56933700	29227500
