# InsertionSort() randomized input.
#	N	BestCase	WorstCase	AverageCase
1	100	200	300
11	800	6500	3800
21	1500	24300	14000
31	2100	53800	26800
41	2700	93700	46300
51	3400	149000	84300
61	4100	210900	101900
71	4700	286600	119600
81	5400	372800	209900
91	5900	473900	239000
101	6600	583700	255000
111	7300	708000	326600
121	8000	837200	396900
131	8600	982600	466800
141	9100	1144400	581500
151	9900	1307600	681500
161	10500	1486500	741800
171	11100	1678800	915100
181	11800	1876700	1045000
191	12500	2094000	1019000
201	13000	2321800	1141900
211	13800	2552500	1289200
221	14400	2806500	1361800
231	15100	3074200	1587800
241	15600	3346600	1620900
251	16300	3615900	1875500
261	16900	3904600	1889400
271	17600	4212600	2073500
281	18200	4534200	2141600
291	18900	4871100	2636300
301	19500	5304200	2557200
311	20100	5563600	2687000
321	20700	5934200	2876600
331	21500	6309800	3288900
341	22100	6692800	3354200
351	22700	7093900	3651200
361	23400	7507200	3682000
371	23900	7929700	3757700
381	24700	8382200	4348800
391	25300	8806000	4657900
401	26000	9270600	4674200
411	26700	9721200	4916100
421	27200	10209600	5073400
431	27900	10689300	5551500
441	28600	11207400	5515700
451	29100	11705000	5593900
461	29700	12250700	6239900
471	30400	12778200	6207300
481	31100	13335900	6642700
491	31700	13889300	6789400
501	32500	14474200	7039800
511	33200	15056600	7338400
521	33600	15654400	7694700
531	34400	16300100	8182800
541	35000	16901400	8657800
551	35500	17492600	8943400
561	36200	18127700	8902200
571	36800	18768600	9508000
581	40900	19524700	9498900
591	38300	20137100	9602500
601	38900	20835000	10521100
611	39600	21532100	10797900
621	40100	22259900	10955700
631	40700	22942200	11606900
641	41500	23715400	11421200
651	42100	24457100	12105900
661	42800	25184500	12596100
671	43300	25955200	12832800
681	44000	26732500	13271700
691	44600	27518200	14095000
701	45100	28384800	13988500
711	45900	29367400	14825700
721	46600	29992900	15099500
731	47200	30789500	14903100
741	47900	31966500	15292600
751	48700	32645700	16703700
761	49200	33412300	16178700
771	49700	34315600	16699200
781	50600	35454200	17520800
791	51000	36161600	17388000
801	51600	38352800	17877900
811	52500	37975600	19934700
821	53100	38919000	19593300
831	53800	39801900	19443000
841	54100	40817000	21082900
851	54900	41924800	20718500
861	55600	43096500	21638100
871	56200	44239400	21831800
881	57000	45201000	22228600
891	57800	46367800	23193500
901	58100	47261600	24070800
911	59300	48446900	24231400
921	59500	49473600	24649000
931	60100	50355500	24240500
941	60700	51695700	25320600
951	61500	52530000	28162700
961	61900	53335200	26952300
971	62500	54383700	27864500
981	63500	55571300	27107400
991	63900	56708800	27800800
