# BubbleSort() randomized input.
#	N	BestCase	WorstCase	AverageCase
1	200	200	400
11	4000	7000	6300
21	14100	26600	20100
31	30600	59200	44600
41	53200	103600	77200
51	86900	244200	126800
61	154200	291700	249100
71	159000	331800	246500
81	249000	426800	330400
91	279700	516100	395400
101	323200	645700	632200
111	401000	794900	596200
121	472600	915600	685600
131	541800	1249500	818500
141	630300	1250000	997500
151	727200	1442000	1101700
161	825800	1636700	1271000
171	929900	2080000	1398500
181	1112100	2060400	1879400
191	1263600	2548500	1774700
201	1278300	2538100	1979700
211	1419500	2791200	2191000
221	1544900	3069700	2325000
231	1693900	3353500	2508300
241	1844300	3650100	2748600
251	1997500	3954300	2972000
261	2168100	4282300	3290400
271	2327300	4612400	3644300
281	2504400	4973900	3766300
291	2689400	5377400	4079800
301	2881300	5773800	4601200
311	3434400	7148200	5199700
321	3278600	6485200	4986600
331	3474500	8086900	5257200
341	3782500	7482600	5990600
351	4009800	8428500	5979700
361	4153300	8200500	6756900
371	4528100	8817300	6900300
381	4650300	9327300	6770200
391	5061400	9636400	7732600
401	5121800	10361300	7831400
411	5372400	10972500	8329300
421	5631900	11373600	8817500
431	6216200	11732800	8841600
441	6233400	12385200	9439200
451	6959300	12933400	10803800
461	6816700	13582500	10169300
471	7185300	14064400	10742200
481	7522200	14789000	11165700
491	7872500	16188300	11641100
501	7945400	15944900	12471100
511	8275400	16626600	12324900
521	8608700	20072000	13306600
531	8944400	17898300	13787600
541	9724900	20755200	18024900
551	9710100	20475300	14926400
561	9993300	19840000	15247100
571	10357200	20534400	15598600
581	10716000	21260200	16232600
591	11168400	24554100	16969700
601	11480600	22757200	19009200
611	11843300	23514000	18266700
621	12245100	24291600	18684300
631	12654700	25077700	19309600
641	13128700	25877000	19888700
651	13469400	26710400	20418800
661	13873900	27540200	21599400
671	14271800	28385300	21755500
681	14711000	29215400	22554600
691	15149900	30071300	22819700
701	15594000	30970900	23585000
711	16054400	31835400	24443200
721	16487400	32759900	25180800
731	16982900	33642700	26017200
741	17447900	34562600	26604000
751	17907200	35552300	27115000
761	18387200	36477300	29550700
771	18853600	37620700	28742500
781	19392500	38471900	29158900
791	19851500	39451700	29818100
801	20409200	40411000	30550300
811	20894400	41531900	31723700
821	21394800	42461900	32391700
831	21916000	43628300	34007600
841	22453800	44557500	34472500
851	22992700	45687800	34830400
861	23768500	46872400	35791000
871	24074100	47811800	36671200
881	24652000	48913600	37714200
891	25315000	50280600	38282400
901	25751700	51137900	39262700
911	26381800	52309300	40364800
921	26906900	53539200	40692600
931	27525600	54627800	42151600
941	28131200	55992500	42618200
951	28705700	57050700	43827300
961	29332900	58490200	43974400
971	29926300	59456100	45779700
981	30552600	60629900	46556400
991	31163000	61855600	47414300
