# SelectionSort() randomized input.
#	N	BestCase	WorstCase	AverageCase
1	100	100	300
11	4000	5700	5200
21	14000	23900	19600
31	30200	46600	42300
41	53000	89700	75200
51	81900	132400	116700
61	119000	193300	158000
71	158400	255200	215000
81	206600	356400	299400
91	260100	454900	370800
101	319900	536500	439900
111	390300	633000	540900
121	461000	773400	645100
131	541500	919100	732500
141	624800	1046100	864400
151	716100	1186800	977700
161	816900	1399700	1207900
171	921000	1523800	1275400
181	1029400	1725100	1436900
191	1144700	1945200	1629100
201	1267300	2123200	1779900
211	1405400	2400500	2013400
221	1537500	2565900	2142600
231	1676200	2882600	2390000
241	1825800	3082800	2592800
251	1979700	3346100	2836700
261	2141800	3522700	2997900
271	2308200	3842000	3194800
281	2480200	4209700	3520500
291	2662300	4430500	3696800
301	2852900	4702300	4025100
311	3041000	5016300	4182700
321	3257700	5385400	4497600
331	3443200	5772800	4828800
341	3648400	6108100	5109800
351	3876700	6359800	5390600
361	4089200	6733800	5744400
371	4331700	7249600	6040000
381	4566900	7749800	6412100
391	4801800	7978500	6657100
401	5058800	8402800	7077400
411	5310900	8875300	7540500
421	5573500	9373800	7791000
431	5836200	9796700	8205200
441	6113200	10234600	8626500
451	6393800	10583300	8973500
461	6688600	11374100	9537100
471	6970700	11730100	9807600
481	7267900	12031200	10078800
491	7577200	12558500	10465000
501	8088200	13082800	11084300
511	8217600	13667800	11582500
521	8531400	14374800	11988100
531	8864200	15070700	12579200
541	9224100	16914600	12973100
551	9552300	15845900	13344200
561	9897000	16690500	13992300
571	10259000	17167000	14269600
581	10609300	17892000	14932600
591	10968500	18374100	15411800
601	11360300	18833500	15894700
611	11752200	19939400	16646900
621	12126400	20437700	17086400
631	12506000	20713600	17729000
641	12922800	22177600	18617300
651	13332500	22589400	18907200
661	13729800	23060400	19358300
671	14148800	23561600	19742400
681	14581600	24642900	20624500
691	15009200	24916300	20608600
701	15438600	25879700	21818400
711	15886500	26762700	22518000
721	16352500	26966300	23073300
731	16805000	28285700	23779800
741	17278600	28950000	24242800
751	17723000	29730200	24870300
761	18223900	30471500	25650600
771	18950100	31427200	26366200
781	19184200	31839500	26799300
791	19659200	33152600	27481200
801	20172700	33630100	28559300
811	20675100	34554300	28904500
821	21198300	35132000	29582800
831	21717600	36805300	30991700
841	22241600	36685700	30757400
851	22757000	38092800	31755800
861	23511800	39272100	32972300
871	23858800	40243100	33368700
881	24397600	41052300	34070000
891	24953600	42023900	35377500
901	25560300	42556600	35703900
911	26082300	43927600	37120800
921	26662100	45420300	37586000
931	27238100	45182200	38258700
941	27838400	46778700	39100700
951	28449300	47543400	39651100
961	29376900	48616200	40675700
971	29645100	49738400	41171400
981	30250500	50761200	42716800
991	30875700	51458100	43144500
