# InsertionSort() randomized input.
#	N	BestCase	WorstCase	AverageCase
1	200	100	300
11	900	6700	4700
21	1400	24400	18000
31	2100	54000	27300
41	2800	94800	47900
51	3400	147300	91800
61	4100	213000	104700
71	4700	287800	167400
81	5400	379400	210900
91	6000	472800	219100
101	6700	583400	307700
111	7300	709900	393000
121	8000	838800	432700
131	8600	983700	480500
141	9300	1144300	628800
151	9800	1310800	668300
161	10500	1503400	672800
171	11200	1680000	904300
181	11800	1884200	984200
191	12500	2098500	1052900
201	13200	2333000	1228200
211	13800	2563600	1254500
221	14400	2820900	1440800
231	15100	3074600	1598400
241	15800	3348800	1714900
251	16500	3635600	1884400
261	17100	3923200	1911100
271	17700	4243000	2257100
281	18300	4564200	2250500
291	19000	4888500	2336200
301	19700	5233300	2444600
311	20300	5589900	2792500
321	20900	5950100	2876600
331	21700	6319100	3305000
341	22200	6716500	3265100
351	22900	7122900	3546000
361	23700	7532600	3669600
371	24300	7945200	4022000
381	24800	8431200	4164900
391	25500	8839600	4424100
401	26200	9297300	4537600
411	26800	9769800	4860600
421	28900	10244900	5140400
431	28200	10737900	5276000
441	28700	11226700	5602500
451	29300	11762600	5994600
461	30100	12295500	6031700
471	30700	12822300	6421600
481	31400	13354200	6894700
491	32100	13944800	6951300
501	34300	14521400	7330600
511	33300	15103400	7523400
521	33900	15697200	8063000
531	34600	16329900	8268100
541	35300	16938600	8345300
551	35800	17555300	9120300
561	36600	18217800	8912500
571	37200	18886900	9732800
581	37900	19808800	9324700
591	38400	20203600	9841300
601	39500	20891700	10315500
611	39900	21591400	10626300
621	40300	22285300	11499600
631	42700	23032500	11941500
641	41700	23814700	12029400
651	42400	24522600	11841800
661	43000	25303300	12219800
671	43600	26067700	12521000
681	44300	26841600	12976400
691	45000	27743900	14277500
701	45700	28479200	13867700
711	46200	29264600	14953800
721	46900	30113900	15133900
731	47600	30936300	14578300
741	48100	31844800	15526300
751	48900	32674200	16886400
761	49600	33525500	16696800
771	50100	34410900	17374400
781	50800	35427500	17774400
791	51500	36261900	18001200
801	52100	37216400	19790200
811	52700	38506100	18898300
821	53500	39315700	19782000
831	54100	39995000	20704600
841	54600	40926400	20537200
851	55500	41912700	21035500
861	55900	42916500	21169100
871	56600	43892100	21134000
881	57400	44961100	22279900
891	58000	45974200	23657500
901	58500	46984000	23696000
911	59300	48093200	23837000
921	59900	49120100	24607000
931	60500	50568800	25257200
941	61200	51268100	25185900
951	61800	52429300	26165800
961	62500	53498200	25963700
971	63100	54597800	27185600
981	63700	55738600	28802800
991	64500	56867600	27792500
