13
triangle
102
141	412
141	411
142	409
144	405
149	400
158	389
171	372
185	354
196	335
204	317
210	304
215	296
219	291
225	285
233	280
240	274
246	270
251	264
256	258
261	253
265	247
267	245
268	243
269	242
269	241
270	241
272	241
277	245
279	246
279	247
280	247
282	249
285	251
289	256
294	261
300	268
305	276
310	285
318	297
325	309
336	328
347	348
356	360
362	369
368	378
372	382
376	386
377	388
378	388
379	389
379	390
380	391
380	392
381	394
382	398
384	402
385	406
387	410
388	413
390	418
392	421
393	423
388	422
380	420
371	419
364	418
357	417
350	416
342	416
333	416
322	415
312	415
300	415
288	413
279	412
271	411
263	411
257	411
252	411
246	411
240	411
232	411
223	411
214	411
208	412
204	412
199	413
194	413
187	413
183	413
179	413
177	413
173	414
169	414
166	414
165	415
163	415
161	415
160	415
159	415
158	415
157	415
left_curly_bracket
57
293	158
291	158
286	160
281	163
274	167
266	175
258	185
251	197
247	210
244	222
242	234
241	246
239	258
238	271
236	283
234	291
233	297
230	301
228	304
225	307
222	309
221	310
220	310
219	310
218	310
222	314
229	321
236	333
241	344
243	352
245	360
245	367
245	373
245	378
245	385
244	391
242	399
238	409
237	417
235	428
233	440
233	454
233	465
234	474
235	481
236	486
238	491
240	497
242	503
246	508
249	513
253	518
257	523
261	527
264	529
265	531
266	531
infinity
98
179	308
179	306
182	299
187	291
192	283
198	277
204	271
211	267
219	263
225	261
229	260
233	259
236	259
237	259
241	260
250	264
257	266
262	268
271	272
280	276
293	283
304	288
309	291
314	296
320	302
326	308
332	312
336	315
342	319
349	323
357	327
365	328
371	330
377	330
383	330
390	330
397	329
404	326
412	321
417	315
422	308
425	301
426	293
426	286
426	278
425	272
422	266
419	261
415	258
412	254
407	253
403	251
397	251
390	251
385	252
379	253
373	256
367	258
360	260
352	264
346	267
340	270
334	275
330	278
325	282
319	287
314	291
309	295
305	299
300	302
294	307
289	311
285	313
278	317
272	319
267	322
261	323
254	326
247	327
239	328
232	330
226	330
220	330
214	331
208	331
202	331
200	331
198	331
196	330
193	328
190	324
187	322
185	319
183	316
182	313
180	310
179	307
178	306
sol key
166
225	299
225	297
227	284
231	273
234	265
236	259
240	254
245	248
250	246
257	244
265	243
272	242
280	242
290	245
301	251
313	258
324	265
330	270
335	276
340	284
343	292
346	300
347	308
347	314
347	321
347	332
345	339
342	347
337	356
331	363
323	369
314	376
304	383
292	388
281	392
271	394
259	396
247	397
238	397
231	397
225	397
220	396
215	393
209	389
202	384
198	378
194	373
190	367
186	359
182	352
181	346
180	338
179	327
179	317
179	307
181	298
184	289
188	280
193	272
198	264
203	257
208	251
214	245
221	240
227	237
233	234
241	229
246	224
253	217
259	208
263	201
266	195
269	189
271	184
273	177
275	167
277	158
278	151
280	146
280	142
280	138
280	134
279	130
279	127
278	126
278	125
275	124
274	124
272	123
269	123
267	124
265	126
263	130
262	137
261	145
259	154
259	164
259	175
259	187
261	204
265	219
268	233
271	246
273	257
275	269
278	283
281	297
284	312
285	324
287	336
288	348
289	359
291	372
292	384
292	394
293	407
293	415
293	426
292	439
292	449
291	460
290	470
288	477
286	487
283	497
281	504
279	513
276	523
275	529
272	535
268	542
265	546
261	549
258	551
254	553
252	554
248	555
246	555
241	555
235	554
231	551
225	548
219	543
213	538
207	533
203	529
200	526
198	523
196	519
194	516
193	511
192	507
192	502
192	497
192	492
192	489
192	488
193	487
197	486
200	486
204	486
207	486
211	487
214	488
215	488
215	489
sol key
166
225	299
225	297
227	284
231	273
234	265
236	259
240	254
245	248
250	246
257	244
265	243
272	242
280	242
290	245
301	251
313	258
324	265
330	270
335	276
340	284
343	292
346	300
347	308
347	314
347	321
347	332
345	339
342	347
337	356
331	363
323	369
314	376
304	383
292	388
281	392
271	394
259	396
247	397
238	397
231	397
225	397
220	396
215	393
209	389
202	384
198	378
194	373
190	367
186	359
182	352
181	346
180	338
179	327
179	317
179	307
181	298
184	289
188	280
193	272
198	264
203	257
208	251
214	245
221	240
227	237
233	234
241	229
246	224
253	217
259	208
263	201
266	195
269	189
271	184
273	177
275	167
277	158
278	151
280	146
280	142
280	138
280	134
279	130
279	127
278	126
278	125
275	124
274	124
272	123
269	123
267	124
265	126
263	130
262	137
261	145
259	154
259	164
259	175
259	187
261	204
265	219
268	233
271	246
273	257
275	269
278	283
281	297
284	312
285	324
287	336
288	348
289	359
291	372
292	384
292	394
293	407
293	415
293	426
292	439
292	449
291	460
290	470
288	477
286	487
283	497
281	504
279	513
276	523
275	529
272	535
268	542
265	546
261	549
258	551
254	553
252	554
248	555
246	555
241	555
235	554
231	551
225	548
219	543
213	538
207	533
203	529
200	526
198	523
196	519
194	516
193	511
192	507
192	502
192	497
192	492
192	489
192	488
193	487
197	486
200	486
204	486
207	486
211	487
214	488
215	488
215	489
2
54
237	307
239	302
247	290
256	277
269	262
284	247
293	239
302	233
311	228
319	227
330	226
343	226
356	228
372	233
387	239
397	244
406	251
412	259
416	266
419	275
420	286
420	297
419	308
414	320
408	330
399	341
390	349
380	359
368	371
355	384
342	397
328	409
311	421
295	431
275	442
258	450
242	459
230	467
218	477
210	483
207	485
220	487
241	490
271	495
306	499
332	503
357	504
380	505
395	505
407	506
416	508
421	509
426	510
429	510
left_curly_bracket
43
317	188
316	188
312	188
306	192
300	198
292	207
283	219
277	231
273	242
269	256
264	272
256	294
247	321
