# BubbleSort() randomized input.
#	N	BestCase	WorstCase	AverageCase
1	200	300	700
11	10800	19400	17900
21	14200	27100	21400
31	30600	59200	48500
41	53700	106800	76000
51	110600	164000	179600
61	118300	232000	171800
71	159700	403100	250000
81	233300	462600	323000
91	267400	568600	435900
101	440600	639200	752900
111	396800	774900	611400
121	472200	920100	724600
131	547000	1082300	808400
141	635000	1252000	954300
151	727000	1435900	1135900
161	825700	1631700	1247700
171	931500	1855300	1427300
181	1121400	2071400	1845400
191	1294000	2300700	2255900
201	1285100	2541600	1937800
211	1417800	2839100	2130800
221	1552800	3083000	2384900
231	1699600	3370900	2620700
241	1846400	3668000	2759900
251	2002100	3976400	3062200
261	2191400	4295900	3320700
271	2341100	4635000	3530700
281	2511900	4989300	3884600
291	2695700	5344600	4023000
301	3122100	20136300	4465600
311	3081500	6342400	5405500
321	3692100	6517100	5066200
331	3478400	6922500	5390700
341	3707200	7472700	5486300
351	3916700	7788200	5885800
361	4148200	8226700	6334800
371	4382400	8690800	6651500
381	4786000	9991700	8247400
391	5932700	12067900	9001500
401	5191100	10162200	10558400
411	5390300	10690200	8088500
421	5658300	11221300	8706000
431	5955500	11925500	9075700
441	7034600	12305700	10875100
451	6478800	13163800	9726400
461	6766300	13454300	10455200
471	7052200	14033200	10996800
481	7369700	14630400	11193700
491	7754900	15528300	11939000
501	7977700	15891400	12335900
511	9635900	17362400	12952900
521	8657200	17172200	13503100
531	8988200	18595100	13513700
541	10872500	23944800	14963100
551	9668700	19200700	14885500
561	12087400	20120200	17371500
571	10402800	20639700	16072000
581	10741000	21338000	16704000
591	11094500	22170100	17156200
601	11482100	22868100	17690400
611	11870800	23624800	18196200
621	12277100	24402500	18601600
631	12664800	25228600	19376700
641	13068000	25997500	19974000
651	13592700	26826600	20721500
661	13901100	27608500	20827700
671	14300100	28488900	21782900
681	14748700	29391700	22237800
691	15187800	30172300	23093100
701	15633400	31064700	23963800
711	16077500	31973000	24320300
721	16533500	32860300	25345200
731	17081900	33792400	25677600
741	17442500	34839800	26298500
751	17932800	35698100	27343100
761	18411900	36610000	28369000
771	18902500	37588200	28553100
781	19407300	38573100	29113900
791	19894000	39547000	30060200
801	20407500	40577300	30923000
811	20907900	41587000	31906800
821	21451100	42596200	32728900
831	21957600	43748900	33459100
841	22486500	44836500	34435900
851	23026300	45856600	35577500
861	23570800	46892500	35692300
871	24130800	47974700	36562100
881	24769500	49174000	37536800
891	25223100	50246000	38344700
901	25817300	51405800	39634800
911	26385800	52584000	39927700
921	26978500	53690400	40918200
931	27549600	54840700	41893100
941	28134500	56068900	42879700
951	28905100	57256000	44039200
961	29372500	58533600	45716900
971	29989700	59718000	45314800
981	30625700	60858100	46456300
991	31242000	62407500	47902300
