# SelectionSort() randomized input.
#	N	BestCase	WorstCase	AverageCase
1	100	200	300
11	3900	6800	5600
21	13900	24500	20100
31	30200	48700	43200
41	52600	83600	70500
51	81100	139600	118200
61	116500	193400	166900
71	157500	277800	225100
81	205300	339800	287000
91	258600	443400	356500
101	318700	542800	448000
111	384700	653800	549700
121	459500	775900	652300
131	538400	909500	758100
141	621600	1058800	892800
151	710700	1185900	997800
161	808600	1376400	1131400
171	912800	1535200	1325800
181	1024400	1690000	1415200
191	1136300	1930300	1640800
201	1257800	2099200	1783200
211	1389500	2353200	1935800
221	1522600	2519500	2115300
231	1663000	2818300	2396100
241	1811400	3063600	2545000
251	1965600	3335200	2818400
261	2130200	3602000	2986100
271	2290500	3856700	3197100
281	2466300	4150200	3518900
291	2644700	4471300	3756400
301	2828100	4759300	3989000
311	3020100	5070900	4253400
321	3213400	5356300	4482400
331	3421400	5783100	4857500
341	3638700	6033100	4968200
351	3847300	6419800	5413000
361	4070400	6798700	5712600
371	4333000	7191400	5996700
381	4541900	8234700	6447900
391	4777200	8073700	6766200
401	5021200	8275900	7055600
411	5273400	8935200	7545600
421	5538700	9313100	7834300
431	5799900	9827400	8200300
441	6069700	10123300	8446300
451	6359500	10449900	8777800
461	6653100	11315800	9404900
471	6928100	11653000	9720500
481	7222800	12122300	10140400
491	7521200	12717000	10675000
501	7839100	12909100	11007300
511	8143100	13717800	11394400
521	8522000	14315900	12037600
531	8797700	14758100	12428300
541	9173700	15337100	12714200
551	9487300	16200900	13516900
561	9831300	16531700	13796900
571	10186600	16964700	14258300
581	10545600	17744000	14780800
591	10895300	18323700	15314400
601	11273500	18999100	15853900
611	11672500	19834200	16728900
621	12041700	20225700	16904500
631	12429900	20848800	17520600
641	12829700	21545200	17768600
651	13224300	22437500	18440900
661	13634500	23047700	19382500
671	14085600	23826800	19796100
681	14472400	24389800	20541200
691	14919000	24931700	20911800
701	15353100	25858700	21339400
711	15784500	26738500	22390700
721	16226700	27285600	22650700
731	16696500	27904300	23393600
741	17139900	28789700	24257100
751	17615500	29523200	24594900
761	18067000	29940000	25115600
771	18554400	30950100	26171600
781	19467100	32035600	26694200
791	19527400	32750600	27760400
801	20037700	33897100	27908000
811	20532200	34906100	28913700
821	21044900	34843800	29694600
831	21718900	36103600	30248600
841	22060900	36843500	30609200
851	22617700	37941100	31758800
861	23141400	38221600	32148700
871	23677800	39796200	33325100
881	25017900	40085300	33721800
891	24784200	41623700	34729800
901	25335100	42451100	35175400
911	25896900	43593200	36435800
921	26500800	44178900	37036400
931	27056900	45123200	37896500
941	27641400	46423100	38512100
951	28305800	47811900	40153600
961	28818000	48598400	41133900
971	29447200	49277800	41861400
981	30046400	51007100	42631500
991	30637500	51741500	43221400
